GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment-3,src.testable,Animal,28,22,0,2,12,7,8,3,8,2
Assignment-3,src.testable,House,28,29,0,2,12,9,8,3,8,2
Assignment-3,src.testable,Testable,8,0,0,0,4,0,3,0,3,0
Assignment-3,src,non_testable.Animal,5,0,0,0,2,0,2,0,2,0
Assignment-3,src,non_testable.House,6,0,0,0,1,0,1,0,1,0
Assignment-3,src,non_testable,4,0,0,0,2,0,2,0,2,0
